S_NO,VEHICLE_NO,IMEI1,IMEI2,ICCID,MDT_NUMBER,VEHICLE_TYPE,RO,PIU,TOLL_NAME
38,RJ14GT2305,350284942421625,350776872421624,8991102406351370000,5754226677662,patrol vehicle,Jaipur,Jaipur,Barkheda-Chandlai
39,MH40CQ1562,350284942477783,350776872477782,8991102406351380000,5754226677830,Crane,Nagpur,Nagpur-I,"Toll_LOC_Kolkata - Mumbai Highway, Kamptee - Location"
40,MH31DS0779,350284942426608,350776872426607,8991102406351380000,5754226677827,Ambulance,Nagpur,Nagpur-I,Borkhedi-Nagpur Bypass
41,UP23T6672,350284942422672,350776872422671,8991102406351370000,5754226677663,Ambulance,Jaipur,Jaipur,Barkheda-Chandlai
42,MH40BG0823,350284942426780,350776872426789,8991102406351380000,5754226677828,patrol vehicle,Nagpur,Nagpur-I,Borkhedi-Nagpur Bypass
43,MH40CM4448,350284942440534,350776872440533,8991102406351380000,5754226677823,ambulance,Nagpur,Nagpur-I,Toll_Panjari Toll Plaza
44,NL01AD7079,350284942424645,350776872424644,8991102406368010000,5754226699053,Crane,Varanasi-UP East,Azamgarh,Amdi
45,UP50AT5647,350284942393139,350776872393138,8991102406368010000,5754226699033,patrol vehicle,Varanasi-UP East,Azamgarh,Amdi
46,RJ11PA4841,350284942428430,350776872428439,8991102406368010000,5754226699035,ambulance,Varanasi-UP East,Azamgarh,Amdi
47,UP15CS9560,350284942429545,350776872429544,8991102406368010000,5754226699034,patrol vehicle,Varanasi-UP East,Azamgarh,Amdi
48,UK14CA2894,350284942433794,350776872433793,8991102406351380000,5754226677801,crane,Dehradun,Vasant Vihar-Dehradun,Lacchhiwala
49,PB65BB4485,350284942415254,350776872415253,8991102406351380000,5754226677813,ambulance,Dehradun,Roorkee,Chhapar
50,DL1LAC5786,350284942481660,350776872481669,8991102406351380000,5754226677767,ambulance,Lucknow-UP West,Agra,Raibha
51,UK07TD1208,350284942406667,350776872406666,8991102406351380000,,patrol vehicle,Dehradun,Vasant Vihar-Dehradun,Lacchhiwala
52,RJ14GT2306,350284942427127,350776872427126,8991102406351370000,5754226677658,patrol vehicle,Jaipur,Jaipur,Sonwa-Sonva
53,MP15DA0612,350284942415536,350776872415535,8991102406351380000,5754226677864,ambulance,Nagpur,Nagpur-I,Sendurwafa
54,MH30AB4001,350284942476157,350776872476156,8991102406351380000,5754226677825,patrol vehicle,Nagpur,Nagpur-I,WEPL Mathani
55,MH36AA2892,350284942478005,350776872478004,8991102406351380000,5754226677829,patrol vehicle,Nagpur,Nagpur-I,Sendurwafa
56,MP17DA1321,350284942477882,350776872477881,8991102406351380000,5754226677826,Crane,Nagpur,Nagpur-I,WEPL Mathani
57,UP83AT9459,350284942477684,350776872477683,8991102406351370000,5754226677659,ambulance,Jaipur,Jaipur,Sonwa-Sonva
58,MH35K1247,350284942477676,350776872477675,8991102406351380000,5754226677824,ambulance,Nagpur,Nagpur-I,Sendurwafa
59,RJ11PA6672,350284942413846,350776872413845,8991102406351370000,5754226677657,ambulance,Jaipur,Jaipur,Sitarampura
60,MH35G3946,350284942427168,350776872427167,8991102406351380000,5754226677859,crane,Nagpur,Nagpur-I,Sendurwafa
61,HR638274,350284942413887,350776872413886,8991102406367990000,5754226697250,Crane,Varanasi-UP East,Raibareilly,Itaura buzurg
62,RJ11PA4840,350284942428786,350776872428785,8991102406367990000,5754226697251,ambulance,Varanasi-UP East,Raibareilly,Itaura buzurg
63,M3GTFR546RB501474,350284942421377,350776872421376,8991102406367990000,5754226697223,patrol vehicle,Varanasi-UP East,Raibareilly,Andhiyari
64,OD35D0660,350284942427101,350776872427100,8991102406367990000,5754226697311,crane,Bhubaneswar,Bhubaneswar,Paat Sahanipur-Pipli
65,OD02DA8391,350284942413911,350776872413910,8991102406367990000,5754226697312,patrol vehicle,Bhubaneswar,Bhubaneswar,Paat Sahanipur-Pipli
66,UK09PA0108,350284942427770,350776872427779,8991102406367990000,5754226697248,ambulance,Varanasi-UP East,Raibareilly,Andhiyari
67,MC1E4GGA8TP002796,350284942480662,350776872480661,8991102406367990000,5754226697249,ambulance,Varanasi-UP East,Raibareilly,Itaura buzurg
68,RJ11PA4869,350284942480324,350776872480323,8991102406367990000,5754226697247,ambulance,Varanasi-UP East,Raibareilly,Andhiyari
69,UP71AT6759,350284942479193,350776872479192,8991102406367990000,5754226697341,crane,Varanasi-UP East,Prayagraj,Sahson
70,BR28GB2306,350284942476215,350776872476214,,,crane,Varanasi-UP East,Gorakhpur,Tendua-Gorakhpur Bypass
71,UP80JT4126,350284942480647,350776872480646,8991102406367990000,5754226697351,crane,Varanasi-UP East,Prayagraj,Kokhraj TP-Sihori Uparhar
72,BR28GB5754,350284942480795,350776872480794,8991102406367990000,5754226697339,patrol vehicle,Varanasi-UP East,Gorakhpur,Tendua-Gorakhpur Bypass
73,HR73C2424,350284942481785,350776872481784,8991102406367990000,5754226697352,patrol vehicle,Varanasi-UP East,Prayagraj,Kokhraj TP-Sihori Uparhar
74,HR55AN6120,350284942479342,350776872479341,8991102406367990000,5754226697337,ambulance,Varanasi-UP East,Gorakhpur,Tendua-Gorakhpur Bypass
75,RJ11PA5980,350284942477734,350776872477733,8991102406367990000,5754226697314,ambulance,Varanasi-UP East,Prayagraj,Handia
76,UP78HN2561,350284942424611,350776872424610,8991102406367990000,5754226697313,patrol vehicle,Varanasi-UP East,Prayagraj,Sahson
77,UP80JT4125,350284942439262,350776872439261,8991102406367990000,5754226697340,crane,Varanasi-UP East,Prayagraj,Handia
78,RJ29EA0023,350284942426640,350776872426649,8991102406351370000,5754226677660,Crane,Jaipur,Jaipur,Sonwa-Sonva
79,RJ11PA4872,350284942415296,350776872415295,8991102406368010000,5754226699052,ambulance,Varanasi-UP East,Gorakhpur,Kyampur Urf Mirzapur
80,UP32LN1340,350284942408663,350776872408662,8991102406368010000,5754226699036,Crane,Varanasi-UP East,Gorakhpur,Kyampur Urf Mirzapur
81,UP67R0011,350284942415148,350776872415147,8991102406368010000,5754226699051,patrol vehicle,Varanasi-UP East,Gorakhpur,Kyampur Urf Mirzapur
82,UP11BT8418,350284942427408,350776872427407,8991102406351380000,5754226677810,ambulance,Dehradun,Roorkee,Sayed Mazera
83,UP19T7483,350284942415304,350776872415303,8991102406351380000,5754226677803,Crane,Dehradun,Roorkee,Bhagwanpur
84,UP11BT8417,350284942408630,350776872408639,8991102406351380000,5754226677806,ambulance,Dehradun,Roorkee,Sarsawa
85,UP19T7461,350284942415353,350776872415352,8991102406351380000,5754226677814,crane,Dehradun,Roorkee,Sarsawa
86,HR58E8626,350284942410750,350776872410759,8991102406351380000,5754226677809,patrol vehicle,Dehradun,Roorkee,Sayed Mazera
87,HR58E9063,350284942478872,350776872478871,8991102406351380000,5754226677804,patrol vehicle,Dehradun,Roorkee,Bhagwanpur
88,UP11BT8419,350284942476413,350776872476412,8991102406351380000,5754226677805,ambulance,Dehradun,Roorkee,Bhagwanpur
89,HR58E2506,350284942481686,350776872481685,8991102406351380000,5754226677807,patrol vehicle,Dehradun,Roorkee,Sarsawa
90,UP19T7462,350284942476421,350776872476420,8991102406351380000,5754226677808,crane,Dehradun,Roorkee,Sayed Mazera
91,MH40BL4706,350284942478179,350776872478178,8991102406351380000,5754226677831,patrol vehicle,Nagpur,Nagpur-I,Toll_Panjari Toll Plaza
92,RJ52GA7794,350284942405321,350776872405320,8991102406351370000,5754226677654,patrol vehicle,Jaipur,Dausa,Sikandra
93,MH40BL5808,350284942478674,350776872478673,8991102406351380000,5754226677821,ambulance,Nagpur,Nagpur-I,Khumari-Kamptee - Kanhan Bypass Tekadi
94,MH40CM4450,350284942478328,350776872478327,8991102406351380000,5754226677832,ambulance,Nagpur,Nagpur-I,Khumari-Kamptee - Kanhan Bypass Tekadi
95,MH32AJ3548,350284942478369,350776872478368,8991102406351380000,5754226677861,ambulance,Nagpur,Nagpur-I,Selu Toll Plaza
96,PB13BE9249,350284942477460,350776872477469,8991102406351380000,5754226677862,crane,Nagpur,Nagpur-I,Selu Toll Plaza
97,TS07UA2049,350284942476785,350776872476784,8991102406351380000,5754226677860,patrol vehicle,Nagpur,Nagpur-I,Selu Toll Plaza
98,RJ52GA7793,350284942477742,350776872477741,8991102406351370000,5754226677652,patrol vehicle,Jaipur,Dausa,Rajadhok
99,RJ14PE3022,350284942477726,350776872477725,8991102406351370000,5754226677651,ambulance,Jaipur,Dausa,Rajadhok
100,MH40BG7138,350284942476777,350776872476776,8991102406351380000,5754226677820,patrol vehicle,Nagpur,Nagpur-I,Khumari-Kamptee - Kanhan Bypass Tekadi
101,RJ11EA0025,350284942476645,350776872476644,8991102406351370000,5754226677656,Crane,Jaipur,Dausa,Sikandra
102,RJ14PE1992,350284942409224,350776872409223,8991102406351370000,5754226677655,ambulance,Jaipur,Dausa,Sikandra
103,UP70AT3227,350284942422664,350776872422663,8991102406351380000,5754226677833,crane,Nagpur,Nagpur-I,Khumari-Kamptee - Kanhan Bypass Tekadi
104,RJ14E0944,350284942411634,350776872411633,8991102406351370000,5754226677653,Crane,Jaipur,Dausa,Rajadhok
105,OD05BU5445,350284942427747,350776872427746,8991102406367990000,5754226697267,crane,Bhubaneswar,Bhubaneswar,Bandalo-Old Maguli
106,OD05BL5133,350284942423084,350776872423083,8991102406367990000,5754226697268,patrol vehicle,Bhubaneswar,Bhubaneswar,Bandalo-Old Maguli
107,RJ14PG2829,350284942411857,350776872411856,8991102406367990000,5754226697266,ambulance,Bhubaneswar,Bhubaneswar,Bandalo-Old Maguli
108,TS02EG7765,350284942414067,350776872414066,8991102406367990000,5754226697245,crane,Varanasi-UP East,Gorakhpur,Pidhi
109,RJ14PG2825,350284942423084,350776872423083,8991102406367990000,5754226697263,ambulance,Bhubaneswar,Bhubaneswar,Bandalo-Old Maguli
110,OD05BL5126,350284942427846,350776872427845,8991102406367990000,5754226697310,patrol vehicle,Bhubaneswar,Bhubaneswar,Bandalo-Old Maguli
111,HR61E5520,350284942414034,350776872414033,8991102406367990000,5754226697220,patrol vehicle,Varanasi-UP East,Gorakhpur,Pidhi
112,UP42ET6771,350284942427382,350776872427381,8991102406367990000,5754226697233,patrol vehicle,Varanasi-UP East,Raibareilly,Rasulpur/ Mu.Mithegaon TP
113,HR87K7802,#N/A,#N/A,,,crane,Varanasi-UP East,Raibareilly,Rasulpur/ Mu.Mithegaon TP
114,RJ53PA0115,350284942411659,350776872411658,8991102406367990000,5754226697235,ambulance,Varanasi-UP East,Raibareilly,Rasulpur/ Mu.Mithegaon TP
115,HR16AC7227,350284942413879,350776872413878,8991102406367990000,5754226697218,crane,Varanasi-UP East,Raibareilly,Maniyarpur
116,RJ53PA0114,350284942478807,350776872478806,8991102406367990000,5754226697234,ambulance,Varanasi-UP East,Raibareilly,Rasulpur/ Mu.Mithegaon TP
117,UP42ET6772,350284942478831,350776872478830,8991102406367990000,5754226697232,patrol vehicle,Varanasi-UP East,Raibareilly,Rasulpur/ Mu.Mithegaon TP
118,OD05BU4545,350284942480571,350776872480570,8991102406367990000,5754226697269,crane,Bhubaneswar,Bhubaneswar,Bandalo-Old Maguli
119,HR87N8437,350284942479177,350776872479176,8991102406367990000,5754226697230,Crane,Varanasi-UP East,Raibareilly,Rasulpur/ Mu.Mithegaon TP
120,UP70HT0493,350284942480621,350776872480620,8991102406367990000,5754226697345,ambulance,Varanasi-UP East,Prayagraj,Lalanagar
121,UP70MT9588,350284942413929,350776872413928,8991102406367990000,5754226697344,patrol vehicle,Varanasi-UP East,Prayagraj,Lalanagar
122,UP70JT8493,350284942393147,350776872393146,8991102406367990000,5754226697346,patrol vehicle,Varanasi-UP East,Prayagraj,Lalanagar
123,UP70JT2038,350284942478641,350776872478640,8991102406367990000,5754226697348,Crane,Varanasi-UP East,Prayagraj,Lalanagar
124,RJ11PA6675,350284942476132,350776872476131,8991102406367997820U,5754226697347,ambulance,Varanasi-UP East,Prayagraj,Lalanagar
125,HR61E3301,350284942415361,350776872415360,8991102406367990000,5754226697246,patrol vehicle,Varanasi-UP East,Raibareilly,Rasulpur/ Mu.Mithegaon TP
126,RJ11PA6665,350284942415437,350776872415436,8991102406368010000,5754226699037,ambulance,Varanasi-UP East,Varanasi,Kaithi
127,MP28DB0394,350284942756491,350776872756490,8991102406351380000,5754226677863,crane,Nagpur,Nagpur-2,Khambara
128,MH40CD8096,350284942477205,350776872477204,8991102406351380000,5754226677818,patrol vehicle,Nagpur,Nagpur-2,Patanswangi
129,MH40P2720,350284942476439,350776872476438,8991102406351380000,5754226677834,crane,Nagpur,Nagpur-2,Patanswangi
130,MP48ZF3236,350284942772019,350776872772018,8991102406351380000,5754226677836,patrol vehicle,Nagpur,Nagpur-2,Milanpur
131,RJ14GT2307,350284942756509,350776872756508,8991102406351370000,5754226677645,patrol vehicle,Jaipur,Jaipur,Sonwa-Sonva
132,MP48ZG4926,350284942756327,350776872756326,8991102406351380000,5754226677817,ambulance,Nagpur,Nagpur-2,Milanpur
133,MH40CT7405,350284942476124,350776872476123,8991102406351380000,5754226677835,ambulance,Nagpur,Nagpur-2,Patanswangi
134,RJ18GB8073,350284942477130,350776872477139,8991102406351370000,5754226677649,patrol vehicle,Jaipur,Kota,Gumanpura
135,UP83AT9444,350284942476504,350776872476503,8991102406351370000,5754226677650,ambulance,Jaipur,Jaipur,Sonwa-Sonva
136,786SCE15N2E4M2122,350284942439247,350776872439246,8991102406351370000,5754226677646,crane,Jaipur,Kota,Gumanpura
137,MP28DB0390,350284942437720,350776872437729,8991102406351380000,5754226677816,crane,Nagpur,Nagpur-2,Milanpur
138,MP48ZG4960,350284942428034,350776872428033,8991102406351380000,5754226677840,ambulance,Nagpur,Nagpur-2,Khambara
139,MP48ZF3248,350284942426475,350776872426474,8991102406351380000,5754226677819,patrol vehicle,Nagpur,Nagpur-I,Khumari-Kamptee - Kanhan Bypass Tekadi
140,UP12BT4001,350284942416484,350776872416483,8991102406367990000,5754226697317,patrol vehicle,Varanasi-UP East,Gorakhpur,Salemgarh
141,GA06T7203,350284942417201,350776872417200,8991102406367990000,5754226697333,ambulance,Varanasi-UP East,Gorakhpur,Muzaina Hetim
142,RJ07PB1265,350284942427663,350776872427662,8991102406367990000,5754226697412,ambulance,Jaipur,Bikaner,Kheerwa Toll Plaza
143,RJ07PB1263,350284942426855,350776872426854,8991102406367990000,5754226697397,ambulance,Jaipur,Bikaner,Nokhra
144,RJ27GD5773,350284942416617,350776872416616,8991102406367990000,5754226697411,patrol vehicle,Jaipur,Bikaner,Kheerwa Toll Plaza
145,RJ07EA1649,350284942443496,350776872443495,8991102406367990000,5754226697395,crane,Jaipur,Bikaner,Salasar
146,UP33CT8201,350284942757572,350776872757571,8991102406367990000,5754226697227,patrol vehicle,Varanasi-UP East,Raibareilly,Dattauli
147,RJ11PA4861,350284942416682,350776872416681,8991102406367990000,5754226697221,ambulance,Varanasi-UP East,Raibareilly,Jorwara
148,RJ27GD5772,350284942426947,350776872426946,8991102406367990000,5754226697398,patrol vehicle,Jaipur,Bikaner,Nokhra
149,RJ07EA1650,350284942424421,350776872424420,8991102406367990000,5754226697410,crane,Jaipur,Bikaner,Kheerwa Toll Plaza
150,TS02FG7766,350284942416989,350776872416988,8991102406367990000,5754226697224,crane,Varanasi-UP East,Raibareilly,Aihar
151,AP39UN0893,350284942427374,350776872427373,8991102406367990000,5754226697265,ambulance,Bhubaneswar,Berhampore,Karapadu-Old Bellupada
152,UP33CT8199,350284942426509,350776872426508,8991102406367990000,5754226697237,patrol vehicle,Varanasi-UP East,Raibareilly,Aihar
153,AP39UT6384,350284942416393,350776872416392,8991102406367990000,5754226697264,patrol vehicle,Bhubaneswar,Berhampore,Karapadu-Old Bellupada
154,AP39AN6782,350284942480712,350776872480711,8991102406367990000,5754226697304,crane,Bhubaneswar,Berhampore,Karapadu-Old Bellupada
155,RJ27GD5771,350284942401981,350776872401980,8991102406367990000,5754226697409,patrol vehicle,Jaipur,Bikaner,Salasar
156,RJ07EA1648,350284942428265,350776872428264,8991102406367990000,5754226697396,crane,Jaipur,Bikaner,Nokhra
157,RJ07PB1264,350284942426301,350776872426300,8991102406367990000,5754226697394,ambulance,Jaipur,Bikaner,Salasar
158,GA06T7204,350284942401973,350776872401972,,,ambulance,Varanasi-UP East,Gorakhpur,Salemgarh
159,HR74C7568,350284942755428,350776872755427,8991102406367990000,5754226697342,patrol vehicle,Varanasi-UP East,Prayagraj,Soraon
160,CG04NF4504,350284942401320,350776872401329,8991102406367990000,5754226697185,patrol vehicle,Raipur,Raipur,Lakholi
161,UP78JT4476,350284942401759,350776872401758,8991102406367990000,5754226697335,patrol vehicle,Varanasi-UP East,Gorakhpur,Muzaina Hetim
162,UP57AT6659,350284942426301,350776872426300,8991102406367990000,5754226697318,Crane,Varanasi-UP East,Gorakhpur,Salemgarh
163,CG07MB3916,350284942398302,350776872398301,8991102406367990000,5754226697184,ambulance,Raipur,Raipur,Mandir Hasaud
164,CG10BJ7095,350284942400983,350776872400982,8991102406367990000,5754226697164,patrol vehicle,Raipur,Bilaspur,Limha
165,CG10BN9506,350284942480597,350776872480596,8991102406367990000,5754226697183,ambulance,Raipur,Bilaspur,Limha
166,CG13L6047,350284942393154,350776872393153,8991102406367990000,5754226697202,crane,Raipur,Raipur,Mandir Hasaud
167,UP57AT2534,350284942479292,350776872479291,8991102406367990000,5754226697336,Crane,Varanasi-UP East,Gorakhpur,Muzaina Hetim
168,Gj06BX2453,350284942479169,350776872479168,8991102406367990000,5754226697186,ambulance,Raipur,Raipur,Durg Bypass-Dhamdanaka
169,CG07NA8895,350284942478922,350776872478921,8991102406367990000,5754226697187,crane,Raipur,Raipur,Durg Bypass-Dhamdanaka
170,RJ11PA5979,350284942479722,350776872479721,8991102406367990000,5754226697343,Ambulance,Varanasi-UP East,Prayagraj,Kokhraj TP-Sihori Uparhar
171,RJ11PA6664,350284942478948,350776872478947,8991102406368010000,5754226699050,ambulance,Varanasi-UP East,Varanasi,Gopalpur TP
172,UP83CT4388,350284942478971,350776872478970,8991102406351380000,5754226677802,patrol vehicle,Dehradun,Nazibabad-Bijnor,Puraini
173,RJ14PE6839,350284942481165,350776872481164,8991102406351380000,5754226677797,ambulance,Dehradun,Nazibabad-Bijnor,Jagatpur Patti
174,CG10FA8443,350284942479144,350776872479143,8991102406351380000,5754226677853,ambulance,Nagpur,Yavatmal,Haladgaon
175,RJ29PA3878,350284942481421,350776872481420,8991102406351380000,5754226677842,ambulance,Nagpur,Nagpur-I,Daroda
176,HR73B9605,350284942408564,350776872408563,8991102406351380000,5754226677846,patrol vehicle,Nagpur,Nagpur-I,Daroda
177,HR73B3661,350284942478971,350776872478970,8991102406351380000,5754226677841,patrol vehicle,Nagpur,Nagpur-I,Daroda
178,UK18TA1386,350284942480589,350776872480588,8991102406351380000,5754226677799,patrol vehicle,Dehradun,Nazibabad-Bijnor,Jagatpur Patti
179,RJ14PE6840,350284942479649,350776872479648,8991102406351380000,5754226677798,ambulance,Dehradun,Nazibabad-Bijnor,Puraini
180,HPC030FNNRM000037,350284942478096,350776872478095,8991102406351380000,5754226677844,Crane,Nagpur,Nagpur-I,Daroda
181,UK18CA6289,350284942478997,350776872478996,8991102406351380000,5754226677796,crane,Dehradun,Nazibabad-Bijnor,Jagatpur Patti
182,PB13BF1464,350284942476603,350776872476602,8991102406351380000,5754226677850,crane,Nagpur,Yavatmal,Haladgaon
183,UP83CT4421,350284942477841,350776872477840,8991102406351380000,5754226677795,crane,Dehradun,Nazibabad-Bijnor,Puraini
184,HPCO30FNNRM000036,350284942476561,350776872476560,8991102406351380000,5754226677843,Crane,Nagpur,Nagpur-I,Daroda
185,MH32AJ3489,350284942478898,350776872478897,8991102406351380000,5754226677849,patrol vehicle,Nagpur,Yavatmal,Haladgaon
186,MH29BE2715,350284942477858,350776872477857,8991102406351380000,5754226677855,patrol vehicle,Nagpur,Yavatmal,Husnapur
187,MH30AV0608,350284942479250,350776872479259,8991102406351380000,5754226677847,ambulance,Nagpur,Nagpur-I,Champa/Umred TP
188,UP75BT7302,350284942756525,350776872756524,8991102406351370000,5754226677647,patrol vehicle,Jaipur,Dausa,Amoli
189,RJ29PA3879,350284942477957,350776872477956,8991102406351380000,5754226677845,ambulance,Nagpur,Nagpur-I,Daroda
190,PB13BG1465,350284942478906,350776872478905,8991102406351380000,5754226677851,crane,Nagpur,Yavatmal,Husnapur
191,RJ05EA1223,350284942417797,350776872417796,8991102406351370000,5754226677643,crane,Jaipur,Dausa,Amoli
192,MH27BF0206,350284942425469,350776872425468,8991102406351380000,5754226677854,ambulance,Nagpur,Yavatmal,Husnapur
193,RJ14PF3209,350284942428968,350776872428967,8991102406351370000,5754226677644,Ambulance,Jaipur,Dausa,Amoli
194,RJ05GC1247,350284942416260,350776872416269,8991102406351379712U,5754226677648,patrol vehicle,Jaipur,Dausa,Ludhawai
195,MH31CQ7006,350284942426293,350776872426292,8991102406351380000,5754226677848,crane,Nagpur,Nagpur-I,Champa/Umred TP
196,OR02BS0919,350284942428828,350776872428827,8991102406367990000,5754226697305,ambulance,Bhubaneswar,Berhampore,Gudipada-Old Gangapada
197,CG04NM2103,350284942400967,350776872400966,8991102406367990000,5754226697158,ambulance,Ranchi,Ranchi,Turup Toll Plaza
198,BR02GD0738,350284942411600,350776872411609,8991102406367990000,5754226697154,crane,Ranchi,Ranchi,Turup Toll Plaza
199,BR02GC1318,350284942768702,350776872768701,8991102406367990000,5754226697151,Crane,Ranchi,Ranchi,Edalhatu
200,JH01FD9168,350284942759230,350776872759239,8991102406367990000,5754226697156,patrol vehicle,Ranchi,Ranchi,Edalhatu
201,JH01FD2050,350284942421484,350776872421483,8991102406367990000,5754226697157,patrol vehicle,Ranchi,Ranchi,Edalhatu
202,CG08K1245,350284942760576,350776872760575,8991102406367990000,5754226697196,ambulance,Raipur,Raipur,Thakurtola-End Of Durg Bypass
203,HR39E5826,350284942417045,350776872417044,8991102406367990000,5754226697401,patrol vehicle,Jaipur,Jodhpur,Panchu
204,HR38BG5040,350284942760147,350776872760146,8991102406367990000,5754226697241,crane,Varanasi-UP East,Raibareilly,Nuruddinpur
205,UP71L2478,350284942759925,350776872759924,,,crane,Varanasi-UP East,Raibareilly,Kunwarpur
206,UP83CT5215,350284942428398,350776872428397,8991102406367990000,5754226697219,patrol vehicle,Varanasi-UP East,Raibareilly,Kunwarpur
207,OD02BX0999,350284942417052,350776872417051,8991102406367990000,5754226697307,ambulance,Bhubaneswar,Berhampore,Gurapalli
208,CG04NY9155,350284942417656,350776872417655,8991102406367990000,5754226697180,crane,Raipur,Bilaspur,Limha
209,JH01FZ9788,350284942757374,350776872757373,8991102406367990000,5754226697155,patrol vehicle,Ranchi,Ranchi,Turup Toll Plaza
